TYPECOM,COM,REG,DEP,TNCC,NCC,NCCENR,LIBELLE
COM,1280,84,1,1,ORDONNAZ,Ordonnaz,Ordonnaz
COM,1281,84,1,1,ORNEX,Ornex,Ornex
COM,1282,84,1,1,OUTRIAZ,Outriaz,Outriaz
COM,1283,84,1,1,OYONNAX,Oyonnax,Oyonnax
COM,1284,84,1,1,OZAN,Ozan,Ozan
COM,1285,84,1,0,PARCIEUX,Parcieux,Parcieux
COM,1286,84,1,0,PARVES ET NATTAGES,Parves et Nattages,Parves et Nattages
COMD,1286,,,0,PARVES,Parves,Parves
COM,1288,84,1,0,PERON,Péron,Péron
COM,1289,84,1,0,PERONNAS,Péronnas,Péronnas
COM,1290,84,1,0,PEROUGES,Pérouges,Pérouges
COM,1291,84,1,0,PERREX,Perrex,Perrex
COM,1293,84,1,0,PEYRIAT,Peyriat,Peyriat
COM,1294,84,1,0,PEYRIEU,Peyrieu,Peyrieu
COM,1295,84,1,0,PEYZIEUX SUR SAONE,Peyzieux-sur-Saône,Peyzieux-sur-Saône
COM,1296,84,1,0,PIRAJOUX,Pirajoux,Pirajoux
COM,1297,84,1,0,PIZAY,Pizay,Pizay
COM,1298,84,1,0,PLAGNE,Plagne,Plagne
COM,1299,84,1,2,PLANTAY,Plantay,Le Plantay
COMD,1300,,,2,POIZAT,Poizat,Le Poizat
COM,1301,84,1,0,POLLIAT,Polliat,Polliat
COM,1302,84,1,0,POLLIEU,Pollieu,Pollieu
COM,1303,84,1,0,PONCIN,Poncin,Poncin
COM,1304,84,1,0,PONT D AIN,Pont-d'Ain,Pont-d'Ain
COM,1305,84,1,0,PONT DE VAUX,Pont-de-Vaux,Pont-de-Vaux
COM,1306,84,1,0,PONT DE VEYLE,Pont-de-Veyle,Pont-de-Veyle
COM,1307,84,1,0,PORT,Port,Port
COM,1308,84,1,0,POUGNY,Pougny,Pougny
COM,1309,84,1,0,POUILLAT,Pouillat,Pouillat
COM,1310,84,1,0,PREMEYZEL,Prémeyzel,Prémeyzel
COM,1311,84,1,0,PREMILLIEU,Prémillieu,Prémillieu
COMD,1312,,,0,PRESSIAT,Pressiat,Pressiat
COM,1313,84,1,0,PREVESSIN MOENS,Prévessin-Moëns,Prévessin-Moëns
COM,1314,84,1,0,PRIAY,Priay,Priay
COM,1317,84,1,0,RAMASSE,Ramasse,Ramasse
COM,1318,84,1,0,RANCE,Rancé,Rancé
COM,1319,84,1,0,RELEVANT,Relevant,Relevant
COM,1320,84,1,0,REPLONGES,Replonges,Replonges
COM,1321,84,1,0,REVONNAS,Revonnas,Revonnas
COM,1322,84,1,0,REYRIEUX,Reyrieux,Reyrieux
COM,1323,84,1,0,REYSSOUZE,Reyssouze,Reyssouze
COMA,1324,,,0,RIGNAT,Rignat,Rignat
COM,1325,84,1,0,RIGNIEUX LE FRANC,Rignieux-le-Franc,Rignieux-le-Franc
COM,1328,84,1,0,ROMANS,Romans,Romans
COM,1329,84,1,0,ROSSILLON,Rossillon,Rossillon
COM,1330,84,1,0,RUFFIEU,Ruffieu,Ruffieu
COM,1331,84,1,0,SAINT ALBAN,Saint-Alban,Saint-Alban
COM,1332,84,1,0,SAINT ANDRE DE BAGE,Saint-André-de-Bâgé,Saint-André-de-Bâgé
COM,1333,84,1,0,SAINT ANDRE DE CORCY,Saint-André-de-Corcy,Saint-André-de-Corcy
COM,1334,84,1,0,SAINT ANDRE D HUIRIAT,Saint-André-d'Huiriat,Saint-André-d'Huiriat
COM,1335,84,1,0,SAINT ANDRE LE BOUCHOUX,Saint-André-le-Bouchoux,Saint-André-le-Bouchoux
COM,1336,84,1,0,SAINT ANDRE SUR VIEUX JONC,Saint-André-sur-Vieux-Jonc,Saint-André-sur-Vieux-Jonc
COM,1337,84,1,0,SAINT BENIGNE,Saint-Bénigne,Saint-Bénigne
COM,1338,84,1,0,GROSLEE SAINT BENOIT,Groslée-Saint-Benoit,Groslée-Saint-Benoit
COMD,1338,,,0,SAINT BENOIT,Saint-Benoît,Saint-Benoît
COM,1339,84,1,0,SAINT BERNARD,Saint-Bernard,Saint-Bernard
COMD,1340,,,0,SAINT BOIS,Saint-Bois,Saint-Bois
COM,1342,84,1,0,SAINTE CROIX,Sainte-Croix,Sainte-Croix
COM,1343,84,1,0,SAINT CYR SUR MENTHON,Saint-Cyr-sur-Menthon,Saint-Cyr-sur-Menthon
COM,1344,84,1,0,SAINT DENIS LES BOURG,Saint-Denis-lès-Bourg,Saint-Denis-lès-Bourg
COM,1345,84,1,0,SAINT DENIS EN BUGEY,Saint-Denis-en-Bugey,Saint-Denis-en-Bugey
COM,1346,84,1,0,SAINT DIDIER D AUSSIAT,Saint-Didier-d'Aussiat,Saint-Didier-d'Aussiat
COM,1347,84,1,0,SAINT DIDIER DE FORMANS,Saint-Didier-de-Formans,Saint-Didier-de-Formans
COM,1348,84,1,0,SAINT DIDIER SUR CHALARONNE,Saint-Didier-sur-Chalaronne,Saint-Didier-sur-Chalaronne
COM,1349,84,1,0,SAINT ELOI,Saint-Éloi,Saint-Éloi
COM,1350,84,1,0,SAINT ETIENNE DU BOIS,Saint-Étienne-du-Bois,Saint-Étienne-du-Bois
COM,1351,84,1,0,SAINT ETIENNE SUR CHALARONNE,Saint-Étienne-sur-Chalaronne,Saint-Étienne-sur-Chalaronne
COM,1352,84,1,0,SAINT ETIENNE SUR REYSSOUZE,Saint-Étienne-sur-Reyssouze,Saint-Étienne-sur-Reyssouze
COM,1353,84,1,0,SAINTE EUPHEMIE,Sainte-Euphémie,Sainte-Euphémie
COM,1354,84,1,0,SAINT GENIS POUILLY,Saint-Genis-Pouilly,Saint-Genis-Pouilly
