COM,REG,DEP,TNCC,NCC,NCCENR
1359,84,1,0,SAINT GERMAIN SUR RENON,Saint-Germain-sur-Renon
1360,84,1,0,SAINT JEAN DE GONVILLE,Saint-Jean-de-Gonville
1361,84,1,0,SAINT JEAN DE NIOST,Saint-Jean-de-Niost
1362,84,1,0,SAINT JEAN DE THURIGNEUX,Saint-Jean-de-Thurigneux
1363,84,1,0,SAINT JEAN LE VIEUX,Saint-Jean-le-Vieux
1364,84,1,0,SAINT JEAN SUR REYSSOUZE,Saint-Jean-sur-Reyssouze
1365,84,1,0,SAINT JEAN SUR VEYLE,Saint-Jean-sur-Veyle
1366,84,1,0,SAINTE JULIE,Sainte-Julie
1367,84,1,0,SAINT JULIEN SUR REYSSOUZE,Saint-Julien-sur-Reyssouze
1368,84,1,0,SAINT JULIEN SUR VEYLE,Saint-Julien-sur-Veyle
1369,84,1,0,SAINT JUST,Saint-Just
1370,84,1,0,SAINT LAURENT SUR SAONE,Saint-Laurent-sur-Saône
1371,84,1,0,SAINT MARCEL,Saint-Marcel
1372,84,1,0,SAINT MARTIN DE BAVEL,Saint-Martin-de-Bavel
1373,84,1,0,SAINT MARTIN DU FRENE,Saint-Martin-du-Frêne
1374,84,1,0,SAINT MARTIN DU MONT,Saint-Martin-du-Mont
1375,84,1,0,SAINT MARTIN LE CHATEL,Saint-Martin-le-Châtel
1376,84,1,0,SAINT MAURICE DE BEYNOST,Saint-Maurice-de-Beynost
1378,84,1,0,SAINT MAURICE DE GOURDANS,Saint-Maurice-de-Gourdans
1379,84,1,0,SAINT MAURICE DE REMENS,Saint-Maurice-de-Rémens
1380,84,1,0,SAINT NIZIER LE BOUCHOUX,Saint-Nizier-le-Bouchoux
1381,84,1,0,SAINT NIZIER LE DESERT,Saint-Nizier-le-Désert
1382,84,1,0,SAINTE OLIVE,Sainte-Olive
1383,84,1,0,SAINT PAUL DE VARAX,Saint-Paul-de-Varax
1384,84,1,0,SAINT RAMBERT EN BUGEY,Saint-Rambert-en-Bugey
